elink6-0,elink6-1,elink5-0,elink5-1,elink4-0,elink4-1,elink3-0,elink3-1,elink2-0,elink2-1,elink1-0,elink1-1,elink0-0,elink0-1
255,125,255,255,92,255,255,255,255,255,255,0,0,0
255,125,255,255,72,255,255,255,255,255,255,0,0,0
255,215,255,255,136,255,255,255,255,255,255,0,0,0
255,125,255,255,136,255,255,255,255,255,255,0,0,0
255,215,255,255,16,255,255,255,255,255,255,0,0,0
255,215,255,255,4,255,255,255,255,255,255,0,0,0
255,125,255,255,136,255,255,255,255,255,255,0,0,0
255,215,255,255,81,255,255,255,255,255,127,0,0,0
255,125,255,255,92,255,255,255,255,255,253,0,0,0
255,125,255,255,16,255,255,255,255,255,255,0,0,0
255,215,255,255,32,255,255,255,255,255,255,0,0,0
255,125,255,255,81,255,255,255,255,255,255,0,0,0
255,125,255,255,72,255,255,255,255,255,255,0,0,0
255,215,255,255,20,255,255,255,255,255,255,0,0,0
255,125,255,255,136,255,255,255,255,255,255,0,0,0
255,211,255,255,9,255,255,255,255,255,255,0,0,0
255,195,255,255,208,255,255,255,255,255,255,0,0,0
255,62,255,255,197,255,255,255,255,255,255,0,0,0
255,235,255,255,64,255,255,255,255,255,255,0,0,0
255,190,255,255,145,255,255,255,255,255,255,0,0,0
255,190,255,255,0,255,255,255,255,255,255,0,0,0
255,235,255,255,24,255,255,255,255,255,255,0,0,0
255,190,255,255,9,255,255,255,255,255,255,0,0,0
255,235,255,255,192,255,255,255,255,255,255,0,0,0
255,235,255,255,64,255,255,255,255,255,255,0,0,0
255,190,255,255,5,255,255,255,255,255,255,0,0,0
255,235,255,255,11,255,255,255,255,255,255,0,0,0
255,235,255,255,13,255,255,255,255,255,255,0,0,0
255,190,255,255,92,255,255,255,255,255,255,0,0,0
255,235,255,255,0,255,255,255,255,255,255,0,0,0
255,190,255,255,134,255,255,255,255,255,255,0,0,0
255,190,255,255,4,255,255,255,255,255,255,0,0,0
255,235,255,255,4,255,255,255,255,255,255,0,0,0
255,190,255,255,146,255,255,255,255,255,255,0,0,0
255,235,255,255,149,255,255,255,255,255,255,0,0,0
255,235,255,255,0,255,255,255,255,255,255,0,0,0
255,190,255,255,154,255,255,255,255,255,255,0,0,0
255,235,255,255,251,255,255,255,255,255,255,0,0,0
255,190,255,255,18,255,255,255,255,255,255,0,0,0
255,190,255,255,11,255,255,255,255,255,255,0,0,0
255,235,255,255,16,255,255,255,255,255,255,0,0,0
255,190,255,255,116,255,255,255,255,255,255,0,0,0
255,190,255,255,145,255,255,255,255,255,255,0,0,0
255,245,255,255,137,255,255,255,255,255,255,0,0,0
255,31,255,255,17,255,255,255,255,255,255,0,0,0
255,245,255,255,80,255,255,255,255,255,255,0,0,0
255,245,255,255,140,255,255,255,255,255,255,0,0,0
255,95,255,255,148,255,255,255,255,255,255,0,0,0
255,245,255,255,213,255,255,255,255,255,255,0,0,0
255,95,255,255,153,255,255,255,255,255,255,0,0,0
255,95,255,255,131,255,255,255,255,255,255,0,0,0
255,245,255,255,20,255,255,255,255,255,255,0,0,0
255,95,255,255,1,255,255,255,255,255,255,0,0,0
255,245,255,255,8,255,255,255,255,255,255,0,0,0
255,245,255,255,200,255,255,255,255,255,255,0,0,0
255,95,255,255,168,255,255,255,255,255,255,0,0,0
255,245,255,255,9,255,255,255,255,255,255,0,0,0
255,245,255,255,85,255,255,255,255,255,255,0,0,0
255,95,255,255,8,255,255,255,255,255,255,0,0,0
255,245,255,255,74,255,255,255,255,255,255,0,0,0
255,95,255,255,41,255,255,255,255,255,255,0,0,0
255,95,255,255,0,255,255,255,255,255,255,0,0,0
255,245,255,255,213,255,255,255,255,255,255,0,0,0
255,95,255,255,16,255,255,255,255,255,255,0,0,0
255,245,255,255,5,255,255,255,255,255,255,0,0,0
255,245,255,255,93,255,255,255,255,255,255,0,0,0
255,95,255,255,142,255,255,255,255,255,255,0,0,0
255,245,255,255,2,255,255,255,255,255,255,0,0,0
255,95,255,255,136,255,255,255,255,255,255,0,0,0
255,79,255,255,8,255,255,255,255,255,255,0,0,0
255,240,255,255,0,255,255,255,255,255,255,0,0,0
255,143,255,255,128,255,255,255,255,255,255,0,0,0
255,250,255,255,29,255,255,255,255,255,255,0,0,0
255,250,255,255,9,255,255,255,255,255,255,0,0,0
255,175,255,255,24,255,255,255,255,255,255,0,0,0
255,250,255,255,128,255,255,255,255,255,255,0,0,0
255,250,255,255,18,255,255,255,255,255,255,0,0,0
255,175,255,255,8,255,255,255,255,255,255,0,0,0
255,175,255,255,74,255,255,255,255,255,255,0,0,0
255,250,255,255,2,255,255,255,255,255,255,0,0,0
255,175,255,255,48,255,255,255,255,255,255,0,0,0
255,250,255,255,192,255,255,255,255,255,255,0,0,0
255,250,255,255,150,255,255,255,255,255,255,0,0,0
255,175,255,255,8,255,255,255,255,255,255,0,0,0
255,175,255,255,1,255,255,255,255,255,255,0,0,0
255,250,255,255,73,255,255,255,255,255,255,0,0,0
255,175,255,255,0,255,255,255,255,255,255,0,0,0
255,250,255,255,136,255,255,255,255,255,255,0,0,0
255,250,255,255,84,255,255,255,255,255,255,0,0,0
255,175,255,255,128,255,255,255,255,255,255,0,0,0
255,250,255,255,8,255,255,255,255,255,255,0,0,0
255,175,255,255,0,255,255,255,255,255,255,0,0,0
255,175,255,255,152,255,255,255,255,255,255,0,0,0
255,250,255,255,4,255,255,255,255,255,255,0,0,0
255,167,255,255,0,255,255,255,255,255,255,0,0,0
255,135,255,255,69,255,255,255,255,255,255,0,0,0
255,125,255,255,8,255,255,255,255,255,255,0,0,0
255,215,255,255,21,255,255,255,255,255,255,0,0,0
255,125,255,255,72,255,255,255,255,255,255,0,0,0
