EDA-04066-V1-0_mounter-top.asc - Mounter For Project [EDA-04066-V1-0_project.PrjPCB] (PCB Document : EDA-04066-V1-0_pcb.pcbdoc)|

TOP Mounter List - 150 SMD Components on Top / 1819 Total Components - 12/08/2019 14:17:49
Units = INCH

Designator | Mid-X | Mid-Y | Rotation | Part_Number | Footprint

FTG1|0.21654|10.88976|0|FIDUCIAL_TARGET_C100-200|FIDUCIAL_TOP_C100-200
FTG2|0.21654|0.33465|0|FIDUCIAL_TARGET_C100-200|FIDUCIAL_TOP_C100-200
FTG3|10.64961|10.88976|0|FIDUCIAL_TARGET_C100-200|FIDUCIAL_TOP_C100-200
JS_JPL_ONE_1|6.5875|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ONE_2|6.125|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ONE_3|5.19375|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ONE_4|5.66875|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ONE_5|4.275|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ONE_6|4.7375|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_TWO_1|10.15625|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_TWO_2|9.6875|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_TWO_3|8.7625|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_TWO_4|9.2375|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_TWO_5|7.84375|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_TWO_6|8.30625|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ZERO_1|3.01875|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ZERO_2|2.55625|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ZERO_3|1.625|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ZERO_4|2.1|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ZERO_5|0.70625|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ZERO_6|1.16875|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_1|6.325|0.80621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_2|6.325|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_3|6.325|1.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_4|6.325|1.18121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_5|5.43125|1.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_6|5.43125|0.43121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_7|5.43125|0.80621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_8|5.43125|1.18121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_9|4.54375|0.80621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_10|4.54375|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_11|4.54375|1.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_12|4.54375|1.18121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_13|3.65|0.61871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_14|3.65|0.99371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_15|2.75625|1.36871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_16|6.325|0.61871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_17|6.325|1.36871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_18|6.325|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_19|6.325|0.99371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_20|5.43125|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_21|5.43125|0.24371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_22|5.43125|0.61871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_23|5.43125|0.99371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_24|4.54375|0.61871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_25|4.54375|1.36871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_26|4.54375|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_27|4.54375|0.99371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_28|3.65|0.43121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_29|3.65|0.80621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_30|2.75625|1.18121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_1|9.89375|1.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_2|9.89375|0.43121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_3|9.89375|0.80621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_4|9|1.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_5|9.89375|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_6|8.1125|1.36871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_7|9|0.43121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_8|9|1.18121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_9|8.1125|0.99371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_10|8.1125|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_11|8.1125|0.61871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_12|7.21875|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_13|7.21875|0.99371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_14|7.21875|0.61871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_15|7.21875|1.36871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_16|9.89375|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_17|9.89375|0.24371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_18|9.89375|0.61871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_19|9|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_20|9.89375|1.36871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_21|8.1125|1.18121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_22|9|0.24371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_23|9|0.99371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_24|8.1125|0.80621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_25|8.1125|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_26|8.1125|0.43121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_27|7.21875|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_28|7.21875|0.80621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_29|7.21875|0.43121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_TWO_30|7.21875|1.18121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_1|3.65|2.11871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_2|3.65|0.24371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_3|2.75625|0.99371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_4|2.75625|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_5|3.65|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_6|2.75625|2.11871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_7|1.8625|1.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_8|1.8625|0.43121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_9|0.96875|0.24371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_10|1.8625|0.80621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_11|1.8625|1.18121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_12|0.96875|0.61871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_13|0.96875|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_14|0.96875|2.11871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_15|0.96875|1.36871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_16|3.65|1.18121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_17|2.75625|0.24371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_18|2.75625|0.80621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_19|2.75625|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_20|3.65|1.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_21|2.75625|1.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_22|1.8625|1.74371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_23|1.8615|0.24371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_24|0.96875|0.43121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_25|1.8625|0.61871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_26|1.8625|0.99371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_27|0.96875|1.18121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_28|0.96875|1.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_29|1.8625|2.11871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ZERO_30|0.96875|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_EIGHT_NINE_1|9|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_EIGHT_NINE_2|9|1.36871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_FIVE_SIX_1|5.43125|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_FIVE_SIX_2|5.43125|1.36871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_FOUR_FIVE_1|3.65|1.36871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_FOUR_FIVE_2|3.65|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_NINE_TEN_1|9.89375|1.18121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_NINE_TEN_2|9.89375|0.99371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_ONE_TWO_1|1.8625|1.55621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_ONE_TWO_2|1.8625|1.36871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_SIX_SEVEN_1|6.325|0.43121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_SIX_SEVEN_2|6.325|0.24371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_TEN_ELEVEN_1|9|0.80621|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_TEN_ELEVEN_2|9|0.61871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_TWO_THREE_1|2.75625|0.61871|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_TWO_THREE_2|2.75625|0.43121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_PT_ZERO_ONE_1|0.96875|0.99371|0|HARWIN_S9121-45R|HARWIN_S9121-45R
