EDA-03992-V1-0_mounter-top.asc - Mounter for Project [EDA-03992-V1-0_project.PrjPCB] (PCB Document : EDA-03992-V1-0_pcb.pcbdoc)|

TOP Mounter List - 150 SMD Components on Top / 1771 Total Components - 07/05/2019 11:00:37
Units = INCH

Designator | Mid-X | Mid-Y | Rotation | Part_Number | Footprint

FTG1|10.64961|10.88976|0|FIDUCIAL_TARGET_C100-200|FIDUCIAL_TOP_C100-200
FTG3|0.21654|10.88976|0|FIDUCIAL_TARGET_C100-200|FIDUCIAL_TOP_C100-200
FTG4|0.21654|0.21654|0|FIDUCIAL_TARGET_C100-200|FIDUCIAL_TOP_C100-200
JS_JPL_ONE_1|6.5875|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ONE_2|6.125|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ONE_3|5.19375|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ONE_4|5.66875|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ONE_5|4.275|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ONE_6|4.7375|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_TWO_1|3.01875|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_TWO_2|2.55625|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_TWO_3|1.625|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_TWO_4|2.1|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_TWO_5|0.70625|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_TWO_6|1.16875|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ZERO_1|10.15625|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ZERO_2|9.6875|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ZERO_3|8.7625|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ZERO_4|9.2375|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ZERO_5|7.84375|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPL_ZERO_6|8.30625|9.93121|0|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_1|4.5375|1.74379|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_2|4.5375|0.99379|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_3|4.5375|0.61879|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_4|4.5375|1.36879|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_5|5.43125|0.61879|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_6|5.43125|1.36879|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_7|5.43125|1.74379|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_8|5.43125|0.99379|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_9|6.325|1.55629|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_10|6.325|0.80629|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_11|6.325|0.43129|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_12|6.325|1.18129|180|HARWIN_S9121-45R|HARWIN_S9121-45R
JS_JPU_ONE_13|7.21875|1.74379|180|HARWIN_S9121-45R|HARWIN_S9121-45R
