elink0,elink1,elink2,elink3,elink4,elink5,elink6,elink7,elink8,elink9,elink10,elink11
0,0,0,0,4,240,0,0,15,240,255,240
0,0,0,0,15,240,0,0,15,240,255,240
0,0,0,0,6,176,0,0,15,240,255,240
0,0,0,0,15,224,0,0,15,240,255,240
0,0,0,0,15,224,0,0,15,240,255,240
0,0,0,0,7,240,0,0,15,240,255,240
0,0,0,0,13,208,0,0,15,240,255,240
0,0,0,0,2,240,0,0,15,240,255,240
0,0,0,0,14,240,0,0,15,240,255,240
0,0,0,0,12,16,0,0,15,240,255,240
0,0,0,0,15,144,0,0,15,240,255,240
0,0,0,0,13,16,0,0,15,240,255,240
0,0,0,0,13,208,0,0,15,240,255,240
0,0,0,0,13,240,0,0,15,240,255,240
0,0,0,0,13,64,0,0,15,240,255,240
0,0,0,0,2,208,0,0,15,240,255,240
0,0,0,0,8,176,0,0,15,240,255,240
0,0,0,0,8,64,0,0,15,240,255,240
0,0,0,0,2,16,0,0,15,240,255,240
0,0,0,0,9,224,0,0,15,240,255,240
0,0,0,0,11,176,0,0,15,240,255,240
0,0,0,0,1,128,0,0,15,240,255,240
0,0,0,0,5,80,0,0,15,240,255,240
0,0,0,0,15,16,0,0,15,240,255,240
0,0,0,0,2,208,0,0,15,240,255,240
0,0,0,0,13,96,0,0,15,240,255,240
0,0,0,0,12,80,0,0,15,240,255,240
0,0,0,0,0,48,0,0,15,240,255,240
0,0,0,0,12,224,0,0,15,240,255,240
0,0,0,0,14,240,0,0,15,240,255,240
0,0,0,0,15,64,0,0,15,240,255,240
0,0,0,0,13,176,0,0,15,240,255,240
0,0,0,0,10,224,0,0,15,240,255,240
0,0,0,0,11,208,0,0,15,240,255,240
0,0,0,0,8,32,0,0,15,240,255,240
0,0,0,0,4,240,0,0,15,240,255,240
0,0,0,0,5,48,0,0,15,240,255,240
0,0,0,0,5,48,0,0,15,240,255,240
0,0,0,0,14,192,0,0,15,240,255,240
0,0,0,0,4,240,0,0,15,240,255,240
0,0,0,0,11,80,0,0,15,240,255,240
0,0,0,0,8,112,0,0,15,240,255,240
0,0,0,0,8,240,0,0,15,240,255,240
0,0,0,0,10,112,0,0,15,240,255,240
0,0,0,0,13,176,0,0,15,240,255,240
0,0,0,0,7,240,0,0,15,240,255,240
0,0,0,0,15,240,0,0,15,240,255,240
0,0,0,0,15,240,0,0,15,240,255,240
0,0,0,0,7,80,0,0,15,240,255,240
0,0,0,0,3,160,0,0,15,240,255,240
0,0,0,0,5,32,0,0,15,240,255,240
0,0,0,0,9,96,0,0,15,240,255,240
0,0,0,0,13,208,0,0,15,240,255,240
0,0,0,0,14,128,0,0,15,240,255,240
0,0,0,0,7,240,0,0,15,240,255,240
0,0,0,0,15,128,0,0,15,240,255,240
0,0,0,0,9,16,0,0,15,240,255,240
0,0,0,0,10,240,0,0,15,240,255,240
0,0,0,0,9,240,0,0,15,240,255,240
0,0,0,0,15,16,0,0,15,240,255,240
0,0,0,0,15,192,0,0,15,240,255,240
0,0,0,0,13,128,0,0,15,240,255,240
0,0,0,0,15,208,0,0,15,240,255,240
0,0,0,0,5,48,0,0,15,240,255,240
0,0,0,0,0,0,0,0,15,240,255,240
0,0,0,0,11,64,0,0,15,240,255,240
0,0,0,0,15,240,0,0,15,240,255,240
0,0,0,0,15,144,0,0,15,240,255,240
0,0,0,0,5,240,0,0,15,240,255,240
0,0,0,0,5,112,0,0,15,240,255,240
0,0,0,0,0,0,0,0,15,240,255,240
0,0,0,0,9,240,0,0,15,240,255,240
0,0,0,0,6,128,0,0,15,240,255,240
0,0,0,0,6,128,0,0,15,240,255,240
0,0,0,0,12,112,0,0,15,240,255,240
0,0,0,0,12,128,0,0,15,240,255,240
0,0,0,0,0,16,0,0,15,240,255,240
0,0,0,0,4,64,0,0,15,240,255,240
0,0,0,0,14,144,0,0,15,240,255,240
0,0,0,0,13,144,0,0,15,240,255,240
0,0,0,0,3,224,0,0,15,240,255,240
0,0,0,0,13,224,0,0,15,240,255,240
0,0,0,0,15,224,0,0,15,240,255,240
0,0,0,0,14,208,0,0,15,240,255,240
0,0,0,0,10,192,0,0,15,240,255,240
0,0,0,0,1,112,0,0,15,240,255,240
0,0,0,0,15,192,0,0,15,240,255,240
0,0,0,0,7,240,0,0,15,240,255,240
0,0,0,0,15,240,0,0,15,240,255,240
0,0,0,0,3,192,0,0,15,240,255,240
0,0,0,0,7,128,0,0,15,240,255,240
0,0,0,0,5,96,0,0,15,240,255,240
0,0,0,0,11,240,0,0,15,240,255,240
0,0,0,0,13,224,0,0,15,240,255,240
0,0,0,0,13,240,0,0,15,240,255,240
0,0,0,0,6,80,0,0,15,240,255,240
0,0,0,0,11,240,0,0,15,240,255,240
0,0,0,0,13,176,0,0,15,240,255,240
0,0,0,0,15,176,0,0,15,240,255,240
0,0,0,0,1,208,0,0,15,240,255,240
0,0,0,0,10,176,0,0,15,240,255,240
0,0,0,0,13,240,0,0,15,240,255,240
0,0,0,0,7,240,0,0,15,240,255,240
0,0,0,0,15,112,0,0,15,240,255,240
0,0,0,0,15,240,0,0,15,240,255,240
0,0,0,0,8,144,0,0,15,240,255,240
